"year","mean","var","site"
2015,0.143576237858602,0.000171397592586174,"Galvestine"
2016,0.0527957838898974,0.000233634400514553,"Galvestine"
1983,0.092760608991955,0.00116279648522415,"Matagorda"
1984,0.202323782442769,0.000119327148193416,"Matagorda"
1985,0.294326309961941,0.000160570264584548,"Matagorda"
1986,0.0862793019259718,0.000256439026771712,"Matagorda"
1987,0.0760809370297658,0.000199870242240433,"Matagorda"
1988,0.0802914581938348,0.000178388457502849,"Matagorda"
1989,0.0527821231656468,0.000191728485738292,"Matagorda"
1990,0.126350646507247,0.000138715141294138,"Matagorda"
1991,0.288020451727907,0.000124408581058985,"Matagorda"
1992,0.0967857264187473,0.000118097814597593,"Matagorda"
1993,0.0138832158920601,0.000340742422158737,"Matagorda"
1994,0.078399007334734,0.000132797201274927,"Matagorda"
1995,0.0312796922956944,0.000195597866442225,"Matagorda"
1996,0.0691096193147332,0.000132823053181407,"Matagorda"
1997,0.0836936871937991,0.000126952127700408,"Matagorda"
1998,0.0531877063895396,0.000143161936623023,"Matagorda"
1999,0.0373230966137948,0.000195838407890179,"Matagorda"
2000,0.0316779995581794,0.000199388707281911,"Matagorda"
2001,0.131998273056888,0.000112821575912536,"Matagorda"
2002,0.0856279289424523,0.000121599085615824,"Matagorda"
2003,0.0677000532179381,0.000130590597357006,"Matagorda"
2004,0.106487063952632,0.00011527484902897,"Matagorda"
2005,0.0736514581423081,0.000131055965237463,"Matagorda"
2006,0.0730747971754348,0.000137948341318096,"Matagorda"
2007,0.108093763252136,0.000114366774355958,"Matagorda"
2008,0.0496411168867336,0.000141979679791841,"Matagorda"
2009,0.0378987197940144,0.000179117991347069,"Matagorda"
2010,0.0781814196955501,0.000123526350730323,"Matagorda"
2011,0.0652063839262356,0.000137809697259059,"Matagorda"
2012,0.0293026468818277,0.000221437271310808,"Matagorda"
2013,0.0152088403182684,0.000335254173513388,"Matagorda"
2014,0.0277586499757439,0.00026377001497957,"Matagorda"
2015,0.0925433561849427,0.000131772069335176,"Matagorda"
2016,0.1499703838513,0.000146938490296399,"Matagorda"
1983,0.0548368890856314,0.000586100198434567,"San Antonio"
1984,0.0546112874760599,0.000313724842135483,"San Antonio"
1985,0.102218104737804,0.000238154650343123,"San Antonio"
1986,0.087463048162309,0.000274945600944872,"San Antonio"
1987,0.131096250538404,0.000222497982123831,"San Antonio"
1988,0.0380575180085396,0.000321995650088114,"San Antonio"
1989,0.0575976948749135,0.000224479148373886,"San Antonio"
1990,0.0911082197205217,0.000197831774723639,"San Antonio"
1991,0.226248417302968,0.000154414185313099,"San Antonio"
1992,0.149817330256333,0.000151259784462408,"San Antonio"
1993,0.0428339702946435,0.000241693873407437,"San Antonio"
1994,0.053589845809574,0.000189189278471413,"San Antonio"
