"year","mean","var","site"
1992,0.0770524651525772,0.00191336266032231,"Corpus Christi"
1993,0.352380322014869,0.0015954084868108,"Corpus Christi"
1994,0.437090861571776,0.00161056595395827,"Corpus Christi"
1995,0.327472556871482,0.00158757632440017,"Corpus Christi"
1996,0.118118392667948,0.00185626744170752,"Corpus Christi"
1997,0.268582607216456,0.00160549813544977,"Corpus Christi"
1998,0.504764558205413,0.00161684553512157,"Corpus Christi"
1999,0.19850845660936,0.00167551436456557,"Corpus Christi"
2000,0.314631608669876,0.00161408617336302,"Corpus Christi"
2001,0.340715293638473,0.00162367866076193,"Corpus Christi"
2002,0.671485679450299,0.00162196512369831,"Corpus Christi"
2003,0.477395624834517,0.00161209494012363,"Corpus Christi"
2004,0.612069998608823,0.00165419161254589,"Corpus Christi"
2005,0.205167811829124,0.00165172043443405,"Corpus Christi"
2006,0.218005914240864,0.00168884980819178,"Corpus Christi"
2007,0.399629204508475,0.00161488662712215,"Corpus Christi"
2008,0.203808017302584,0.00162720721040228,"Corpus Christi"
2009,0.256571019979174,0.0018321367230257,"Corpus Christi"
2010,0.326222008720451,0.00160642381462886,"Corpus Christi"
2011,0.0868590958797168,0.00217987800779393,"Corpus Christi"
2012,0.128983665325414,0.00200835712581257,"Corpus Christi"
2013,0.356257704494007,0.00166751407306275,"Corpus Christi"
2014,0.174946456211895,0.00182472023527922,"Corpus Christi"
2015,0.172923643595138,0.00220406355507122,"Corpus Christi"
2016,0.542333316404008,0.00297785659970345,"Corpus Christi"
1984,0.0668306295648254,0.00115698593701619,"Upper Laguna Madre"
1985,0.0519157520732609,0.00127570863203435,"Upper Laguna Madre"
1986,0.0482062412345183,0.00180059695057016,"Upper Laguna Madre"
1987,0.0197762209338741,0.00243607803964436,"Upper Laguna Madre"
1988,0.0880879706126485,0.00171674782211106,"Upper Laguna Madre"
1990,0.106911268885105,0.000767273190412659,"Upper Laguna Madre"
1991,0.118468644484277,0.000617098347906971,"Upper Laguna Madre"
1992,0.169294306897274,0.000580397953853206,"Upper Laguna Madre"
1993,0.174812710296429,0.000583829075311695,"Upper Laguna Madre"
1994,0.315367327358928,0.000611128015249148,"Upper Laguna Madre"
1995,0.133125496454895,0.000589338307590328,"Upper Laguna Madre"
1996,0.184088506059826,0.000588034440139222,"Upper Laguna Madre"
1997,0.0741194456205813,0.000644824246241699,"Upper Laguna Madre"
1998,0.154577313737002,0.000590554011577434,"Upper Laguna Madre"
1999,0.118636593262064,0.000674541905981537,"Upper Laguna Madre"
2000,0.134014845142246,0.000594748720942739,"Upper Laguna Madre"
2001,0.128656179873948,0.000635644491791526,"Upper Laguna Madre"
2002,0.157317058426241,0.000598350186686591,"Upper Laguna Madre"
2003,0.0812888662738533,0.00067229937685569,"Upper Laguna Madre"
2004,0.220708572734211,0.000621042410139134,"Upper Laguna Madre"
2005,0.0878563960147081,0.000652795373383058,"Upper Laguna Madre"
2006,0.0932433995126558,0.00064411484126844,"Upper Laguna Madre"
2007,0.314846092379283,0.000601958657882551,"Upper Laguna Madre"
2008,0.381084556959475,0.000653642131370789,"Upper Laguna Madre"
2009,0.249947670490326,0.000589655562356816,"Upper Laguna Madre"
2010,0.376864238989284,0.00058490438084403,"Upper Laguna Madre"
2011,0.101189178281193,0.000638924819466525,"Upper Laguna Madre"
2012,0.129451188296212,0.000584487386421135,"Upper Laguna Madre"
2013,0.155110931432582,0.000611794016807388,"Upper Laguna Madre"
2014,0.283856859797412,0.00062470432716619,"Upper Laguna Madre"
2015,0.361079686747472,0.000744790863292608,"Upper Laguna Madre"
2016,0.168522173176623,0.00114754616306954,"Upper Laguna Madre"
1983,0.0484973276834525,0.00642310896878622,"Lower Laguna Madre"
1984,0.199746745118932,0.00302679041318068,"Lower Laguna Madre"
1985,0.465597789547519,0.00276968339915217,"Lower Laguna Madre"
1986,0.481150130421191,0.0027546492070328,"Lower Laguna Madre"
1987,0.345674763186315,0.00282127378372568,"Lower Laguna Madre"
1988,0.277424812779405,0.00269792787347637,"Lower Laguna Madre"
1989,0.107015542472791,0.00464301775288519,"Lower Laguna Madre"
1990,0.49913916144355,0.00216131449176621,"Lower Laguna Madre"
1991,0.280848578563899,0.00191668564504943,"Lower Laguna Madre"
1992,0.273563695064923,0.00179057826607639,"Lower Laguna Madre"
1993,0.375168861247131,0.0017566549736811,"Lower Laguna Madre"
1994,0.309716524047161,0.00177758283227223,"Lower Laguna Madre"
1995,0.293779820690839,0.00180086244538029,"Lower Laguna Madre"
1996,0.292680897078706,0.00176638589979893,"Lower Laguna Madre"
1997,0.221183598162464,0.0020089203659826,"Lower Laguna Madre"
1998,0.267807927127167,0.00200481655774501,"Lower Laguna Madre"
1999,0.104738270400558,0.00207246081386942,"Lower Laguna Madre"
2000,0.402621610230998,0.00182777434282682,"Lower Laguna Madre"
2001,0.208297892075359,0.00179414802218082,"Lower Laguna Madre"
2002,0.290689209729545,0.00175974961178485,"Lower Laguna Madre"
2003,0.350319222182033,0.00185943527742551,"Lower Laguna Madre"
